"combined_score","EdgeBetweenness","interaction","name","norm_score","selected","shared interaction","shared name"
"999","91.73255537214963","interacts with","ENSP00000269571 (interacts with) ENSP00000362680","1.0","false","interacts with","ENSP00000269571 (interacts with) ENSP00000362680"
"412","195.57772038792635","interacts with","ENSP00000343248 (interacts with) ENSP00000246529","0.8803418803418803","false","interacts with","ENSP00000343248 (interacts with) ENSP00000246529"
"951","106.78253968253962","interacts with","ENSP00000269571 (interacts with) ENSP00000302961","0.9519519519519519","false","interacts with","ENSP00000269571 (interacts with) ENSP00000302961"
"999","11.649122807017545","interacts with","ENSP00000269571 (interacts with) ENSP00000265171","1.0","false","interacts with","ENSP00000269571 (interacts with) ENSP00000265171"
"913","108.65389944830838","interacts with","ENSP00000497806 (interacts with) ENSP00000499797","0.913913913913914","false","interacts with","ENSP00000497806 (interacts with) ENSP00000499797"
"433","168.66544684129428","interacts with","ENSP00000343248 (interacts with) ENSP00000387535","0.9252136752136753","false","interacts with","ENSP00000343248 (interacts with) ENSP00000387535"
"998","652.2144098678873","interacts with","ENSP00000403701 (interacts with) ENSP00000362680","0.998998998998999","false","interacts with","ENSP00000403701 (interacts with) ENSP00000362680"
"996","86.92578340549979","interacts with","ENSP00000497806 (interacts with) ENSP00000477999","0.996996996996997","false","interacts with","ENSP00000497806 (interacts with) ENSP00000477999"
"959","71.09304029304029","interacts with","ENSP00000499797 (interacts with) ENSP00000291295","0.9765784114052953","false","interacts with","ENSP00000499797 (interacts with) ENSP00000291295"
"891","123.91342165649401","interacts with","ENSP00000497806 (interacts with) ENSP00000304643","0.8918918918918919","false","interacts with","ENSP00000497806 (interacts with) ENSP00000304643"
"725","242.0","interacts with","ENSP00000332595 (interacts with) ENSP00000360269","1.0","false","interacts with","ENSP00000332595 (interacts with) ENSP00000360269"
"891","123.91342165649401","interacts with","ENSP00000497806 (interacts with) ENSP00000315299","0.8918918918918919","false","interacts with","ENSP00000497806 (interacts with) ENSP00000315299"
"695","5.0","interacts with","ENSP00000307975 (interacts with) ENSP00000350353","0.86875","false","interacts with","ENSP00000307975 (interacts with) ENSP00000350353"
"645","242.0","interacts with","ENSP00000332595 (interacts with) ENSP00000246912","0.8896551724137931","false","interacts with","ENSP00000332595 (interacts with) ENSP00000246912"
"999","7.352380952380952","interacts with","ENSP00000269571 (interacts with) ENSP00000401303","1.0","false","interacts with","ENSP00000269571 (interacts with) ENSP00000401303"
"743","233.0","interacts with","ENSP00000307975 (interacts with) ENSP00000272839","0.92875","false","interacts with","ENSP00000307975 (interacts with) ENSP00000272839"
"650","944.0","interacts with","ENSP00000332595 (interacts with) ENSP00000253024","0.896551724137931","false","interacts with","ENSP00000332595 (interacts with) ENSP00000253024"
"891","123.91342165649401","interacts with","ENSP00000497806 (interacts with) ENSP00000369689","0.8918918918918919","false","interacts with","ENSP00000497806 (interacts with) ENSP00000369689"
"716","4.0","interacts with","ENSP00000307975 (interacts with) ENSP00000371345","0.895","false","interacts with","ENSP00000307975 (interacts with) ENSP00000371345"
