Color	GeneOfInterest	HighConfidence	incoming	MultiVariant	name	protein_name	selected	shared name	TopVariant
gray	N	N	N	N	ENSP00000362680	SRC	False	ENSP00000362680	N
gray	N	N	N	N	ENSP00000403459	GRB7	False	ENSP00000403459	N
gray	N	N	N	N	ENSP00000287078	TYSND1	False	ENSP00000287078	N
gray	N	N	N	N	ENSP00000330862	OPCML	False	ENSP00000330862	N
gray	N	N	N	N	ENSP00000411960	HSD17B4	False	ENSP00000411960	N
gray	N	N	N	N	ENSP00000419081	CALML4	False	ENSP00000419081	N
gray	N	N	N	N	ENSP00000334051	GNAL	False	ENSP00000334051	N
gray	N	N	N	N	ENSP00000269571	ERBB2	False	ENSP00000269571	N
gray	N	N	N	N	ENSP00000405965	SUMO2	False	ENSP00000405965	N
gray	N	N	N	N	ENSP00000367658	ACTRT2	False	ENSP00000367658	N
green	N	Y	ENSG00000171459	Y	ENSP00000304235	OR1L6	False	ENSP00000304235	N
gray	N	N	N	N	ENSP00000386184	FAM200C	False	ENSP00000386184	N
gray	N	N	N	N	ENSP00000363228	RBM12	False	ENSP00000363228	N
gray	N	N	N	N	ENSP00000264932	SDHA	False	ENSP00000264932	N
gray	N	N	N	N	ENSP00000340887	C5orf47	False	ENSP00000340887	N
orange	N	Y	ENSG00000178395	N	ENSP00000355840	CCDC185	False	ENSP00000355840	Y
gray	N	N	N	N	ENSP00000365569	FLOT1	False	ENSP00000365569	N
gray	N	N	N	N	ENSP00000499797		False	ENSP00000499797	N
green	N	Y	ENSG00000108175	Y	ENSP00000334474	ZMIZ1	False	ENSP00000334474	N
gray	N	N	N	N	ENSP00000380638	PTK2B	False	ENSP00000380638	N
gray	N	N	N	N	ENSP00000246912	MLX	False	ENSP00000246912	N
gray	N	N	N	N	ENSP00000371594	GNG7	False	ENSP00000371594	N
gray	N	N	N	N	ENSP00000304643	CALML6	False	ENSP00000304643	N
gray	N	N	N	N	ENSP00000312262	GRK2	False	ENSP00000312262	N
gray	N	N	N	N	ENSP00000380251	NUDT19	False	ENSP00000380251	N
green	N	Y	ENSG00000214562	Y	ENSP00000371116	NUTM2D	False	ENSP00000371116	N
gray	N	N	N	N	ENSP00000349874	NUDT13	False	ENSP00000349874	N
gray	N	N	N	N	ENSP00000408058	NTMT2	False	ENSP00000408058	N
gray	N	N	N	N	ENSP00000317578	GRK3	False	ENSP00000317578	N
gray	N	N	N	N	ENSP00000319796	SERINC4	False	ENSP00000319796	N
gray	N	N	N	N	ENSP00000342790	FAM25A	False	ENSP00000342790	N
gray	N	N	N	N	ENSP00000261448	CASQ2	False	ENSP00000261448	N
gray	N	N	N	N	ENSP00000357829	EEF1AKMT2	False	ENSP00000357829	N
orange	N	Y	ENSG00000133597	N	ENSP00000072869	ADCK2	False	ENSP00000072869	Y
gray	N	N	N	N	ENSP00000315118	COQ8B	False	ENSP00000315118	N
gray	N	N	N	N	ENSP00000368767	ASPH	False	ENSP00000368767	N
gray	N	N	N	N	ENSP00000377708	ZSCAN25	False	ENSP00000377708	N
orange	N	Y	ENSG00000144401	N	ENSP00000272839	METTL21A	False	ENSP00000272839	Y
gray	N	N	N	N	ENSP00000355741	None	False	ENSP00000355741	N
gray	N	N	N	N	ENSP00000280362	PTS	False	ENSP00000280362	N
gray	N	N	N	N	ENSP00000352608	RYR1	False	ENSP00000352608	N
gray	N	N	N	N	ENSP00000371345	METTL22	False	ENSP00000371345	N
