"combined_score","interaction","name","normalized_score","selected","shared interaction","shared name"
"964","interacts with","ENSP00000267257 (interacts with) ENSP00000376345","0.964964964964965","false","interacts with","ENSP00000267257 (interacts with) ENSP00000376345"
"998","interacts with","ENSP00000368767 (interacts with) ENSP00000355533","0.998998998998999","false","interacts with","ENSP00000368767 (interacts with) ENSP00000355533"
"998","interacts with","ENSP00000368767 (interacts with) ENSP00000261448","0.998998998998999","false","interacts with","ENSP00000368767 (interacts with) ENSP00000261448"
"946","interacts with","ENSP00000352608 (interacts with) ENSP00000499797","0.9469469469469468","false","interacts with","ENSP00000352608 (interacts with) ENSP00000499797"
"999","interacts with","ENSP00000355533 (interacts with) ENSP00000291295","1.0","false","interacts with","ENSP00000355533 (interacts with) ENSP00000291295"
"967","interacts with","ENSP00000315299 (interacts with) ENSP00000369689","0.967967967967968","false","interacts with","ENSP00000315299 (interacts with) ENSP00000369689"
"512","interacts with","ENSP00000363228 (interacts with) ENSP00000306324","0.8244766505636071","false","interacts with","ENSP00000363228 (interacts with) ENSP00000306324"
"994","interacts with","ENSP00000355533 (interacts with) ENSP00000309591","0.994994994994995","false","interacts with","ENSP00000355533 (interacts with) ENSP00000309591"
"912","interacts with","ENSP00000352608 (interacts with) ENSP00000226279","0.9129129129129128","false","interacts with","ENSP00000352608 (interacts with) ENSP00000226279"
"479","interacts with","ENSP00000281146 (interacts with) ENSP00000355840","0.9657258064516128","false","interacts with","ENSP00000281146 (interacts with) ENSP00000355840"
"999","interacts with","ENSP00000355533 (interacts with) ENSP00000304643","1.0","false","interacts with","ENSP00000355533 (interacts with) ENSP00000304643"
"993","interacts with","ENSP00000355533 (interacts with) ENSP00000366488","0.993993993993994","false","interacts with","ENSP00000355533 (interacts with) ENSP00000366488"
"883","interacts with","ENSP00000267257 (interacts with) ENSP00000401303","0.8838838838838838","false","interacts with","ENSP00000267257 (interacts with) ENSP00000401303"
"944","interacts with","ENSP00000489262 (interacts with) ENSP00000326366","0.9477911646586346","false","interacts with","ENSP00000489262 (interacts with) ENSP00000326366"
"986","interacts with","ENSP00000409581 (interacts with) ENSP00000403701","0.986986986986987","false","interacts with","ENSP00000409581 (interacts with) ENSP00000403701"
"995","interacts with","ENSP00000489262 (interacts with) ENSP00000355533","0.998995983935743","false","interacts with","ENSP00000489262 (interacts with) ENSP00000355533"
"999","interacts with","ENSP00000267257 (interacts with) ENSP00000391669","1.0","false","interacts with","ENSP00000267257 (interacts with) ENSP00000391669"
"958","interacts with","ENSP00000355533 (interacts with) ENSP00000477999","0.958958958958959","false","interacts with","ENSP00000355533 (interacts with) ENSP00000477999"
"999","interacts with","ENSP00000355533 (interacts with) ENSP00000315299","1.0","false","interacts with","ENSP00000355533 (interacts with) ENSP00000315299"
"911","interacts with","ENSP00000489262 (interacts with) ENSP00000383003","0.9146586345381528","false","interacts with","ENSP00000489262 (interacts with) ENSP00000383003"
"492","interacts with","ENSP00000385494 (interacts with) ENSP00000332595","0.8395904436860068","false","interacts with","ENSP00000385494 (interacts with) ENSP00000332595"
"999","interacts with","ENSP00000355533 (interacts with) ENSP00000369689","1.0","false","interacts with","ENSP00000355533 (interacts with) ENSP00000369689"
"989","interacts with","ENSP00000369689 (interacts with) ENSP00000309591","0.98998998998999","false","interacts with","ENSP00000369689 (interacts with) ENSP00000309591"
"953","interacts with","ENSP00000489262 (interacts with) ENSP00000419081","0.9568273092369478","false","interacts with","ENSP00000489262 (interacts with) ENSP00000419081"
"972","interacts with","ENSP00000352608 (interacts with) ENSP00000355533","0.972972972972973","false","interacts with","ENSP00000352608 (interacts with) ENSP00000355533"
"954","interacts with","ENSP00000489262 (interacts with) ENSP00000352608","0.9578313253012049","false","interacts with","ENSP00000489262 (interacts with) ENSP00000352608"
"914","interacts with","ENSP00000355533 (interacts with) ENSP00000226279","0.914914914914915","false","interacts with","ENSP00000355533 (interacts with) ENSP00000226279"
"966","interacts with","ENSP00000489262 (interacts with) ENSP00000315299","0.9698795180722892","false","interacts with","ENSP00000489262 (interacts with) ENSP00000315299"
"992","interacts with","ENSP00000369689 (interacts with) ENSP00000366488","0.992992992992993","false","interacts with","ENSP00000369689 (interacts with) ENSP00000366488"
"864","interacts with","ENSP00000287078 (interacts with) ENSP00000411960","0.9","false","interacts with","ENSP00000287078 (interacts with) ENSP00000411960"
"973","interacts with","ENSP00000355533 (interacts with) ENSP00000499797","0.973973973973974","false","interacts with","ENSP00000355533 (interacts with) ENSP00000499797"
"918","interacts with","ENSP00000489262 (interacts with) ENSP00000477999","0.9216867469879518","false","interacts with","ENSP00000489262 (interacts with) ENSP00000477999"
"960","interacts with","ENSP00000287078 (interacts with) ENSP00000293217","1.0","false","interacts with","ENSP00000287078 (interacts with) ENSP00000293217"
"953","interacts with","ENSP00000489262 (interacts with) ENSP00000304643","0.9568273092369478","false","interacts with","ENSP00000489262 (interacts with) ENSP00000304643"
"999","interacts with","ENSP00000401303 (interacts with) ENSP00000376345","1.0","false","interacts with","ENSP00000401303 (interacts with) ENSP00000376345"
"996","interacts with","ENSP00000369689 (interacts with) ENSP00000291295","0.996996996996997","false","interacts with","ENSP00000369689 (interacts with) ENSP00000291295"
"999","interacts with","ENSP00000352608 (interacts with) ENSP00000419081","1.0","false","interacts with","ENSP00000352608 (interacts with) ENSP00000419081"
"996","interacts with","ENSP00000489262 (interacts with) ENSP00000291295","1.0","false","interacts with","ENSP00000489262 (interacts with) ENSP00000291295"
"954","interacts with","ENSP00000275493 (interacts with) ENSP00000302961","0.954954954954955","false","interacts with","ENSP00000275493 (interacts with) ENSP00000302961"
"938","interacts with","ENSP00000359719 (interacts with) ENSP00000363822","0.938938938938939","false","interacts with","ENSP00000359719 (interacts with) ENSP00000363822"
"947","interacts with","ENSP00000489262 (interacts with) ENSP00000499797","0.9508032128514056","false","interacts with","ENSP00000489262 (interacts with) ENSP00000499797"
"859","interacts with","ENSP00000272839 (interacts with) ENSP00000302961","0.9226638023630503","false","interacts with","ENSP00000272839 (interacts with) ENSP00000302961"
"918","interacts with","ENSP00000489262 (interacts with) ENSP00000226279","0.9216867469879518","false","interacts with","ENSP00000489262 (interacts with) ENSP00000226279"
"891","interacts with","ENSP00000287078 (interacts with) ENSP00000391601","0.928125","false","interacts with","ENSP00000287078 (interacts with) ENSP00000391601"
"761","interacts with","ENSP00000272839 (interacts with) ENSP00000357829","0.8174006444683136","false","interacts with","ENSP00000272839 (interacts with) ENSP00000357829"
"931","interacts with","ENSP00000272839 (interacts with) ENSP00000437125","1.0","false","interacts with","ENSP00000272839 (interacts with) ENSP00000437125"
"966","interacts with","ENSP00000489262 (interacts with) ENSP00000369689","0.9698795180722892","false","interacts with","ENSP00000489262 (interacts with) ENSP00000369689"
"999","interacts with","ENSP00000275493 (interacts with) ENSP00000362680","1.0","false","interacts with","ENSP00000275493 (interacts with) ENSP00000362680"
"732","interacts with","ENSP00000386184 (interacts with) ENSP00000272839","1.0","false","interacts with","ENSP00000386184 (interacts with) ENSP00000272839"
"993","interacts with","ENSP00000355533 (interacts with) ENSP00000359719","0.993993993993994","false","interacts with","ENSP00000355533 (interacts with) ENSP00000359719"
"990","interacts with","ENSP00000312262 (interacts with) ENSP00000367872","0.990990990990991","false","interacts with","ENSP00000312262 (interacts with) ENSP00000367872"
"999","interacts with","ENSP00000312262 (interacts with) ENSP00000403701","1.0","false","interacts with","ENSP00000312262 (interacts with) ENSP00000403701"
"995","interacts with","ENSP00000401303 (interacts with) ENSP00000341189","0.995995995995996","false","interacts with","ENSP00000401303 (interacts with) ENSP00000341189"
"528","interacts with","ENSP00000371116 (interacts with) ENSP00000342790","1.0","false","interacts with","ENSP00000371116 (interacts with) ENSP00000342790"
"924","interacts with","ENSP00000401303 (interacts with) ENSP00000265171","0.924924924924925","false","interacts with","ENSP00000401303 (interacts with) ENSP00000265171"
"480","interacts with","ENSP00000371116 (interacts with) ENSP00000377561","0.9090909090909092","false","interacts with","ENSP00000371116 (interacts with) ENSP00000377561"
