"Color","GeneOfInterest","HighConfidence","incoming","MultiVariant","name","protein_name","selected","shared name","TopVariant"
,,,,,"ENSP00000362680",,"false","ENSP00000362680",
,,,,,"ENSP00000403459",,"false","ENSP00000403459",
,,,,,"ENSP00000287078",,"false","ENSP00000287078",
,,,,,"ENSP00000330862",,"false","ENSP00000330862",
,,,,,"ENSP00000411960",,"false","ENSP00000411960",
,,,,,"ENSP00000419081",,"false","ENSP00000419081",
,,,,,"ENSP00000334051",,"false","ENSP00000334051",
,,,,,"ENSP00000269571",,"false","ENSP00000269571",
,,,,,"ENSP00000405965",,"false","ENSP00000405965",
,,,,,"ENSP00000367658",,"false","ENSP00000367658",
"green","N","Y","ENSG00000171459","Y","ENSP00000304235","OR1L6","false","ENSP00000304235","N"
,,,,,"ENSP00000386184",,"false","ENSP00000386184",
,,,,,"ENSP00000363228",,"false","ENSP00000363228",
,,,,,"ENSP00000264932",,"false","ENSP00000264932",
,,,,,"ENSP00000340887",,"false","ENSP00000340887",
"orange","N","Y","ENSG00000178395","N","ENSP00000355840","CCDC185","false","ENSP00000355840","Y"
,,,,,"ENSP00000365569",,"false","ENSP00000365569",
,,,,,"ENSP00000499797",,"false","ENSP00000499797",
"green","N","Y","ENSG00000108175","Y","ENSP00000334474","ZMIZ1","false","ENSP00000334474","N"
,,,,,"ENSP00000380638",,"false","ENSP00000380638",
,,,,,"ENSP00000246912",,"false","ENSP00000246912",
,,,,,"ENSP00000371594",,"false","ENSP00000371594",
,,,,,"ENSP00000304643",,"false","ENSP00000304643",
,,,,,"ENSP00000312262",,"false","ENSP00000312262",
,,,,,"ENSP00000380251",,"false","ENSP00000380251",
"green","N","Y","ENSG00000214562","Y","ENSP00000371116","NUTM2D","false","ENSP00000371116","N"
,,,,,"ENSP00000349874",,"false","ENSP00000349874",
,,,,,"ENSP00000408058",,"false","ENSP00000408058",
,,,,,"ENSP00000317578",,"false","ENSP00000317578",
,,,,,"ENSP00000319796",,"false","ENSP00000319796",
,,,,,"ENSP00000342790",,"false","ENSP00000342790",
,,,,,"ENSP00000261448",,"false","ENSP00000261448",
,,,,,"ENSP00000357829",,"false","ENSP00000357829",
