incoming	converted	protein_name	GeneOfInterest	HighConfidence	TopVariant	MultiVariant	Color
ENSG00000000938	ENSP00000363115	FGR	N	N	N	N	blue
ENSG00000000938	ENSP00000363116	FGR	N	N	N	N	blue
ENSG00000000938	ENSP00000363117	FGR	N	N	N	N	blue
ENSG00000000938	ENSP00000382126	FGR	N	N	N	N	blue
ENSG00000000938	ENSP00000407670	FGR	N	N	N	N	blue
ENSG00000003989	ENSP00000004531	SLC7A2	N	N	N	N	blue
ENSG00000003989	ENSP00000381164	SLC7A2	N	N	N	N	blue
ENSG00000003989	ENSP00000419140	SLC7A2	N	N	N	N	blue
ENSG00000003989	ENSP00000419873	SLC7A2	N	N	N	N	blue
ENSG00000003989	ENSP00000430464	SLC7A2	N	N	N	N	blue
ENSG00000003989	ENSP00000492016	SLC7A2	N	N	N	N	blue
ENSG00000007944	ENSP00000008686	MYLIP	N	N	N	N	blue
ENSG00000007944	ENSP00000349298	MYLIP	N	N	N	N	blue
ENSG00000011028	ENSP00000307513	MRC2	N	N	N	N	blue
ENSG00000011028	ENSP00000400445	MRC2	N	N	N	N	blue
ENSG00000011028	ENSP00000461968	MRC2	N	N	N	N	blue
ENSG00000011028	ENSP00000463968	MRC2	N	N	N	N	blue
ENSG00000047578	ENSP00000261588	KATNIP	N	N	N	N	blue
ENSG00000047578	ENSP00000454884	KATNIP	N	N	N	N	blue
ENSG00000047578	ENSP00000455380	KATNIP	N	N	N	N	blue
ENSG00000047578	ENSP00000483214	KATNIP	N	N	N	N	blue
ENSG00000049239	ENSP00000366620	H6PD	N	N	N	N	blue
ENSG00000049239	ENSP00000473348	H6PD	N	N	N	N	blue
ENSG00000062524	ENSP00000263800	LTK	N	N	N	N	blue
ENSG00000062524	ENSP00000347293	LTK	N	N	N	N	blue
ENSG00000062524	ENSP00000392196	LTK	N	N	N	N	blue
ENSG00000062524	ENSP00000458111	LTK	N	N	N	N	blue
ENSG00000064313	ENSP00000367406	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000428484	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000428690	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000430832	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000436750	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000508515	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000508549	TAF2	N	N	N	N	blue
ENSG00000064313	ENSP00000508729	TAF2	N	N	N	N	blue
